BBID,BTID,BLID,species,length_mm,caste,pass,replicate,lat,lon,locality,elevation,trapStartDay,trapStartMonth,trapEndDay,trapEndMonth,trapDeployedHours,Canola2015_Adjacent,Canola2014_100m,Cereals2014_100m,Pulses2014_100m,PastureForageCrop2014_100m,NativeGrassland2014_100m,Water2014_100m,Urban2014_100m,Shrubland2014_100m,Forest2014_100m,Wetland2014_100m,Canola2014_250m,Cereals2014_250m,Pulses2014_250m,PastureForageCrop2014_250m,NativeGrassland2014_250m,Water2014_250m,Urban2014_250m,Shrubland2014_250m,Forest2014_250m,Wetland2014_250m,Canola2014_500m,Cereals2014_500m,Pulses2014_500m,PastureForageCrop2014_500m,NativeGrassland2014_500m,Water2014_500m,Urban2014_500m,Shrubland2014_500m,Forest2014_500m,Wetland2014_500m
1122056,18030-4-A-2015,18030,borealis,15,worker,4,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,16,7,29,7,301.5666667,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122057,18030-4-A-2015,18030,borealis,19,queen,4,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,16,7,29,7,301.5666667,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122058,18030-4-A-2015,18030,borealis,18,queen,4,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,16,7,29,7,301.5666667,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1121261,18030-4-A-2015,18030,borealis,21,queen,4,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,16,7,29,7,301.5666667,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122546,18030-5-A-2015,18030,borealis,16,worker,5,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,29,7,11,8,312.3,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122543,18030-5-A-2015,18030,borealis,25,queen,5,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,29,7,11,8,312.3,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122544,18030-5-A-2015,18030,borealis,24,queen,5,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,29,7,11,8,312.3,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1122545,18030-5-A-2015,18030,borealis,15,worker,5,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,29,7,11,8,312.3,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1112043,18030-5-A-2015,18030,nevadensis,26,queen,5,A,50.7425,-114.2326,6.1 km from Black Diamond,1152,29,7,11,8,312.3,0,0,10796.8977,0,899.7414747,0,0,4498.707374,16195.34655,0,0,0,87274.92305,0,10796.8977,0,899.7414747,17095.08802,68380.35208,0,12596.38065,0,296914.6867,0,121465.0991,79177.24978,2699.224424,52185.00553,185346.7438,0,46786.55669
1121366,10901-3-A-2015,10901,borealis,23,queen,3,A,50.568,-114.231,"Cowboy Trail, Longview",1291,9,7,16,7,167.0166667,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1121414,10901-4-A-2015,10901,borealis,20,queen,4,A,50.568,-114.231,"Cowboy Trail, Longview",1291,16,7,29,7,313.0833333,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1122159,10901-5-A-2015,10901,borealis,11,worker,5,A,50.568,-114.231,"Cowboy Trail, Longview",1291,29,7,11,8,312.0666667,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1121831,10901-5-A-2015,10901,borealis,20,queen,5,A,50.568,-114.231,"Cowboy Trail, Longview",1291,29,7,11,8,312.0666667,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1121833,10901-5-A-2015,10901,borealis,15,worker,5,A,50.568,-114.231,"Cowboy Trail, Longview",1291,29,7,11,8,312.0666667,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1122154,10901-5-A-2015,10901,borealis,14,worker,5,A,50.568,-114.231,"Cowboy Trail, Longview",1291,29,7,11,8,312.0666667,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1112010,10901-5-A-2015,10901,nevadensis,20,worker,5,A,50.568,-114.231,"Cowboy Trail, Longview",1291,29,7,11,8,312.0666667,0,10796.8977,899.7414747,0,0,2699.224424,0,6298.190323,10796.8977,0,0,82776.21568,8097.673273,0,0,23393.27834,0,16195.34655,65681.12766,0,0,299613.9111,112467.6843,0,28791.72719,202441.8318,0,47686.29816,94472.85485,899.7414747,0
1115065,17882-2-A-2015,17882,borealis,25,queen,2,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,1,7,9,7,192.4333333,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1121997,17882-2-A-2015,17882,borealis,14,worker,2,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,1,7,9,7,192.4333333,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1122411,17882-5-A-2015,17882,borealis,18,queen,5,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,29,7,11,8,312.3,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1122437,17882-5-A-2015,17882,borealis,15,worker,5,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,29,7,11,8,312.3,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1121824,19711-5-A-2015,19711,borealis,18,queen,5,A,50.7688,-114.2096,9.2 km from Black Diamond,1285,29,7,11,8,300.2833333,0,0,0,0,0,0,0,2699.224424,14395.8636,14395.8636,0,0,0,0,24293.01982,1799.482949,0,9897.156222,88174.66452,71979.31798,0,0,0,0,237531.7493,17994.82949,0,17994.82949,247428.9056,265423.735,0
1122420,17882-5-A-2015,17882,borealis,18,queen,5,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,29,7,11,8,312.3,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1121829,19711-5-A-2015,19711,borealis,21,queen,5,A,50.7688,-114.2096,9.2 km from Black Diamond,1285,29,7,11,8,300.2833333,0,0,0,0,0,0,0,2699.224424,14395.8636,14395.8636,0,0,0,0,24293.01982,1799.482949,0,9897.156222,88174.66452,71979.31798,0,0,0,0,237531.7493,17994.82949,0,17994.82949,247428.9056,265423.735,0
1122423,17882-5-A-2015,17882,borealis,18,queen,5,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,29,7,11,8,312.3,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1121830,19711-5-A-2015,19711,borealis,13,worker,5,A,50.7688,-114.2096,9.2 km from Black Diamond,1285,29,7,11,8,300.2833333,0,0,0,0,0,0,0,2699.224424,14395.8636,14395.8636,0,0,0,0,24293.01982,1799.482949,0,9897.156222,88174.66452,71979.31798,0,0,0,0,237531.7493,17994.82949,0,17994.82949,247428.9056,265423.735,0
1122434,17882-5-A-2015,17882,borealis,13,worker,5,A,50.8055,-114.2096,13.3 km from Black Diamond,1305,29,7,11,8,312.3,0,0,0,0,0,0,0,6298.190323,3598.965899,21593.79539,0,0,0,0,3598.965899,1799.482949,0,15295.60507,29691.46867,144858.3774,0,0,0,0,190745.1926,37789.14194,0,30591.21014,149357.0848,379690.9023,0
1115173,10145-1-A-2015,10145,borealis,20,queen,1,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,24,6,1,7,166.2666667,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1115277,10145-2-A-2015,10145,borealis,20,queen,2,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,1,7,9,7,191.9166667,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1122587,10145-3-A-2015,10145,borealis,20,queen,3,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,9,7,16,7,167.1666667,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121181,10145-3-A-2015,10145,borealis,24,queen,3,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,9,7,16,7,167.1666667,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121185,10145-3-A-2015,10145,borealis,22,queen,3,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,9,7,16,7,167.1666667,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121197,10145-4-A-2015,10145,borealis,19,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121200,10145-4-A-2015,10145,borealis,19,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121513,10145-4-A-2015,10145,borealis,19,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121190,10145-4-A-2015,10145,borealis,24,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121191,10145-4-A-2015,10145,borealis,19,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121199,10145-4-A-2015,10145,borealis,18,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121216,10145-4-A-2015,10145,borealis,19,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121872,10145-4-A-2015,10145,borealis,20,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121192,10145-4-A-2015,10145,borealis,18,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121203,10145-4-A-2015,10145,borealis,15,worker,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121458,10145-4-A-2015,10145,borealis,17,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1122579,10145-4-A-2015,10145,borealis,22,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121196,10145-4-A-2015,10145,borealis,14,worker,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121215,10145-4-A-2015,10145,borealis,17,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121504,10145-4-A-2015,10145,borealis,15,worker,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1122581,10145-4-A-2015,10145,borealis,22,queen,4,A,50.6416,-114.2095,"Range Rd 23, Black Diamond",1263,16,7,29,7,312.3,0,0,7197.931798,0,5398.448848,0,0,6298.190323,8097.673273,6298.190323,0,0,52185.00553,0,41388.10784,0,0,16195.34655,29691.46867,58483.19586,0,0,206940.5392,0,210539.5051,13496.12212,0,29691.46867,215038.2125,110668.2014,0
1121978,11395-1-A-2015,11395,borealis,18,queen,1,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,24,6,1,7,166.3333333,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1122588,11395-1-A-2015,11395,borealis,24,queen,1,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,24,6,1,7,166.3333333,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1117070,11395-1-A-2015,11395,occidentalis,20,queen,1,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,24,6,1,7,166.3333333,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1122017,11395-2-A-2015,11395,borealis,21,queen,2,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,1,7,9,7,191.85,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1115031,11395-2-A-2015,11395,borealis,22,queen,2,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,1,7,9,7,191.85,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1121364,11395-3-A-2015,11395,borealis,24,queen,3,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,9,7,16,7,167.0666667,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1121365,11395-3-A-2015,11395,borealis,21,queen,3,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,9,7,16,7,167.0666667,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
1121209,11395-4-A-2015,11395,borealis,20,queen,4,A,50.5943,-114.1865,"Range Rd 22, Longview",1202,16,7,29,7,312.4166667,0,0,0,0,0,899.7414747,0,2699.224424,28791.72719,0,0,0,19794.31244,0,2699.224424,15295.60507,0,8097.673273,147557.6019,4498.707374,0,0,192544.6756,0,127763.2894,24293.01982,0,17994.82949,286117.789,135860.9627,0
