year,day,site,block,nutrient,geno,biomass,count
2013,1,A,9,Control,3,7.6910791103,19
2013,1,A,9,Control,5,6.7107040574,18
2013,1,A,9,Treatment,1,3.0770015051,21
2013,1,A,9,Treatment,3,7.2288307089,17
2013,1,A,9,Treatment,5,5.8160400891,18
2013,1,A,10,Control,1,7.4053506797,20
2013,1,A,10,Control,3,9.3284246883,19
2013,1,A,10,Control,5,6.7581580654,20
2013,1,A,10,Treatment,1,2.7871909714,20
2013,1,A,10,Treatment,3,4.2637548168,19
2013,1,A,10,Treatment,5,5.0389938623,19
2013,2,A,1,Control,1,4.9765748821,20
2013,2,A,1,Control,3,7.5488527136,22
2013,2,A,1,Control,5,8.1027134998,20
2013,2,A,1,Treatment,1,5.6535168536,20
2013,2,A,1,Treatment,3,3.6623643641,15
2013,2,A,1,Treatment,5,7.6925011358,20
2013,2,A,2,Control,1,5.8863932805,23
2013,2,A,2,Control,3,9.5150505626,22
2013,2,A,2,Control,5,9.0642018774,18
2013,2,A,2,Treatment,1,5.4829210451,18
2013,2,A,2,Treatment,3,5.0343081085,21
2013,2,A,2,Treatment,5,6.7686003349,19
2013,2,A,3,Control,1,7.1683848642,20
2013,2,A,3,Control,3,8.3400785833,19
2013,2,A,3,Control,5,9.211225773,18
2013,2,A,3,Treatment,1,3.2530187219,21
2013,2,A,3,Treatment,3,6.1006891511,20
2013,2,A,3,Treatment,5,6.6496528711,18
2013,2,A,4,Control,1,5.9375217082,19
2013,2,A,4,Control,3,7.8021353626,22
2013,2,A,4,Control,5,6.6098899099,20
2013,2,A,4,Treatment,1,4.4554922596,22
2013,2,A,4,Treatment,3,4.380646419,20
2013,2,A,4,Treatment,5,6.225759697,19
2013,2,A,5,Control,1,4.6951962563,22
2013,2,A,5,Control,3,7.1096249657,21
2013,2,A,5,Control,5,7.3769864786,21
2013,2,A,5,Treatment,1,3.716578064,19
2013,2,A,5,Treatment,3,5.7012267589,17
2013,2,A,5,Treatment,5,6.568338051,20
2013,2,A,6,Control,1,5.1929894932,23
2013,2,A,6,Control,3,7.7453013474,19
2013,2,A,6,Control,5,7.6905421703,20
2013,2,A,6,Treatment,1,3.7371103072,22
2013,2,A,6,Treatment,3,4.1603266984,20
2013,2,A,6,Treatment,5,6.3501201842,19
2013,2,A,7,Control,1,5.3349112793,20
2013,2,A,7,Control,3,5.8554572971,19
2013,2,A,7,Control,5,8.2845360556,20
2013,2,A,7,Treatment,1,2.5455900079,17
2013,2,A,7,Treatment,3,5.4437700591,20
2013,2,A,7,Treatment,5,6.4937784276,23
2013,2,A,8,Control,1,5.6244387838,21
2013,2,A,8,Control,3,7.8702157871,21
2013,2,A,8,Control,5,7.4773088855,19
2013,2,A,8,Treatment,1,2.9895402565,20
2013,2,A,8,Treatment,3,4.981107606,20
2013,2,A,8,Treatment,5,4.3691435594,19
2013,2,A,9,Control,1,5.7569464401,21
2013,2,A,9,Control,3,6.7572717268,22
2013,2,A,9,Control,5,7.3378964272,14
2013,2,A,9,Treatment,1,4.8771673964,23
2013,2,A,9,Treatment,3,3.8468870239,22
2013,2,A,9,Treatment,5,8.0037994494,22
2013,2,A,10,Control,1,5.6842398311,17
2013,2,A,10,Control,3,8.0969406133,21
2013,2,A,10,Control,5,8.6144422286,20
2013,2,A,10,Treatment,1,4.8829619674,18
2013,2,A,10,Treatment,3,6.8780211333,19
2013,2,A,10,Treatment,5,5.0371157465,19
2013,3,A,1,Control,1,6.5852300076,23
2013,3,A,1,Control,3,7.2259774296,18
2013,3,A,1,Control,5,7.2233815028,19
2013,3,A,1,Treatment,1,3.8336705141,22
2013,3,A,1,Treatment,3,7.0472766313,23
2013,3,A,1,Treatment,5,6.0392152917,22
2013,3,A,2,Control,1,7.995374145,22
2013,3,A,2,Control,3,7.9024520396,18
2013,3,A,2,Control,5,10.2030892168,21
2013,3,A,2,Treatment,1,5.809499102,20
2013,3,A,2,Treatment,3,7.2588473572,18
2013,3,A,2,Treatment,5,7.8901168504,23
2013,3,A,3,Control,1,6.5630276067,16
2013,3,A,3,Control,3,8.2043206653,16
2013,3,A,3,Control,5,9.2093351412,18
2013,3,A,3,Treatment,1,6.1481313324,22
2013,3,A,3,Treatment,3,8.0557457038,17
2013,3,A,3,Treatment,5,6.1845243606,22
2013,3,A,4,Control,1,6.4752349313,17
2013,3,A,4,Control,3,5.3959570136,15
2013,3,A,4,Control,5,5.927364007,19
2013,3,A,4,Treatment,1,4.516822111,19
2013,3,A,4,Treatment,3,7.0427221255,20
2013,3,A,4,Treatment,5,6.962820893,21
2013,3,A,5,Control,1,6.0381077808,22
2013,3,A,5,Control,3,7.3132659151,21
2013,3,A,5,Control,5,8.0854780902,21
2013,3,A,5,Treatment,1,3.8779287117,20
2013,3,A,5,Treatment,3,4.6466323154,20
2013,3,A,5,Treatment,5,7.4851651846,20
2013,3,A,6,Control,1,7.1415223752,17
2013,3,A,6,Control,3,8.5914762607,20
2013,3,A,6,Control,5,7.4419645378,19
2013,3,A,6,Treatment,1,3.1170438187,21
2013,3,A,6,Treatment,3,6.2784508159,19
2013,3,A,6,Treatment,5,5.9657957537,16
2013,3,A,7,Control,1,6.2332159799,19
2013,3,A,7,Control,3,5.9883885535,18
2013,3,A,7,Control,5,8.8913734649,19
2013,3,A,7,Treatment,1,5.5586370452,19
2013,3,A,7,Treatment,3,6.7886443871,21
2013,3,A,7,Treatment,5,6.628765208,21
2013,3,A,8,Control,1,6.1461093579,21
2013,3,A,8,Control,3,6.7622341743,17
2013,3,A,8,Control,5,5.8842513303,22
2013,3,A,8,Treatment,1,4.9105555858,17
2013,3,A,8,Treatment,3,6.8379364585,18
2013,3,A,8,Treatment,5,7.1012818053,19
2013,3,A,9,Control,1,6.5771052662,20
2013,3,A,9,Control,3,8.0757913247,20
2013,3,A,9,Control,5,7.5053070367,20
2013,3,A,9,Treatment,1,4.8883488692,20
2013,3,A,9,Treatment,3,6.434345389,17
2013,3,A,9,Treatment,5,9.8112772948,19
2013,3,A,10,Control,1,6.271021233,17
2013,3,A,10,Control,3,9.4676263255,17
2013,3,A,10,Control,5,9.8765831648,19
2013,3,A,10,Treatment,1,4.7801412256,21
2013,3,A,10,Treatment,3,6.5344754364,19
2013,3,A,10,Treatment,5,7.8970287718,19
2013,4,A,1,Control,1,5.8944520567,21
2013,4,A,1,Control,3,8.1236982575,18
2013,4,A,1,Control,5,8.7869673454,21
2013,4,A,1,Treatment,1,7.6431417751,14
2013,4,A,1,Treatment,3,6.3513971799,20
2013,4,A,1,Treatment,5,6.4783719733,23
2013,4,A,2,Control,1,6.5526070337,20
2013,4,A,2,Control,3,8.7992636963,17
2013,4,A,2,Control,5,8.0897055693,20
2013,4,A,2,Treatment,1,7.8431840014,22
2013,4,A,2,Treatment,3,7.9365802265,18
2013,4,A,2,Treatment,5,7.2403126643,20
2013,4,A,3,Control,1,5.5536237123,16
2013,4,A,3,Control,3,6.8410238466,21
2013,4,A,3,Control,5,10.6385537617,21
2013,4,A,3,Treatment,1,5.8980650051,22
2013,4,A,3,Treatment,3,7.5708628315,19
2013,4,A,3,Treatment,5,8.6070218532,20
2013,4,A,4,Control,1,6.9553963146,19
2013,4,A,4,Control,3,6.1919406138,21
2013,4,A,4,Control,5,8.1243374951,18
2013,4,A,4,Treatment,1,5.2357418329,20
2013,4,A,4,Treatment,3,6.7095500245,20
2013,4,A,4,Treatment,5,6.3679460034,17
2013,4,A,5,Control,1,6.5542646454,21
2013,4,A,5,Control,3,6.9189442517,19
2013,4,A,5,Control,5,7.5999303524,21
2013,4,A,5,Treatment,1,5.1059306553,21
2013,4,A,5,Treatment,3,6.5293008313,18
2013,4,A,5,Treatment,5,7.249185539,23
2013,4,A,6,Control,1,5.011495299,20
2013,4,A,6,Control,3,7.2658629182,22
2013,4,A,6,Control,5,7.6261395042,22
2013,4,A,6,Treatment,1,6.2572230574,24
2013,4,A,6,Treatment,3,5.9769351782,20
2013,4,A,6,Treatment,5,8.0826672408,16
2013,4,A,7,Control,1,6.7634886657,18
2013,4,A,7,Control,3,6.6146586274,21
2013,4,A,7,Control,5,7.4154630935,19
2013,4,A,7,Treatment,1,4.2489035972,20
2013,4,A,7,Treatment,3,5.8407161035,18
2013,4,A,7,Treatment,5,6.137447349,19
2013,4,A,8,Control,1,6.5564112355,22
2013,4,A,8,Control,3,5.1306736882,22
2013,4,A,8,Control,5,10.5606072395,22
2013,4,A,8,Treatment,1,6.3595091462,19
2013,4,A,8,Treatment,3,6.8835607267,16
2013,4,A,8,Treatment,5,7.5903581194,21
2013,4,A,9,Control,1,7.1668189298,19
2013,4,A,9,Control,3,7.4911708379,18
2013,4,A,9,Control,5,7.8414013431,21
2013,4,A,9,Treatment,1,7.0873617165,17
2013,4,A,9,Treatment,3,5.222955024,22
2013,4,A,9,Treatment,5,7.5376528461,19
2013,4,A,10,Control,1,4.9635394258,16
2013,4,A,10,Control,3,8.3554812759,16
2013,4,A,10,Control,5,8.8263334791,18
2013,4,A,10,Treatment,1,6.147078203,20
2013,4,A,10,Treatment,3,5.728943761,15
2013,4,A,10,Treatment,5,8.5545969374,21
2013,5,A,1,Control,1,6.2584862828,18
2013,5,A,1,Control,3,6.001932255,21
2013,5,A,1,Control,5,8.3940866247,15
2013,5,A,1,Treatment,1,6.3749239801,18
2013,5,A,1,Treatment,3,7.4402274509,19
2013,5,A,1,Treatment,5,7.1348774903,20
2013,5,A,2,Control,1,8.0648634842,20
2013,5,A,2,Control,3,8.690495017,18
2013,5,A,2,Control,5,8.2888058927,18
2013,5,A,2,Treatment,1,7.3154414117,21
2013,5,A,2,Treatment,3,7.9687343405,14
2013,5,A,2,Treatment,5,8.9039272663,18
2013,5,A,3,Control,1,7.5262044751,19
2013,5,A,3,Control,3,6.9000334332,18
2013,5,A,3,Control,5,10.073917085,18
2013,5,A,3,Treatment,1,7.7288583984,23
2013,5,A,3,Treatment,3,8.7383271124,18
2013,5,A,3,Treatment,5,7.9004171497,20
2013,5,A,4,Control,1,5.864915471,19
2013,5,A,4,Control,3,5.5064875532,20
2013,5,A,4,Control,5,8.8039491178,19
2013,5,A,4,Treatment,1,5.3291719697,18
2013,5,A,4,Treatment,3,6.5293081404,17
2013,5,A,4,Treatment,5,6.3515514276,19
2013,5,A,5,Control,1,7.7840502319,17
2013,5,A,5,Control,3,7.5742309684,16
2013,5,A,5,Control,5,9.0885355585,22
2013,5,A,5,Treatment,1,6.8545548735,17
2013,5,A,5,Treatment,3,6.9772785911,20
2013,5,A,5,Treatment,5,6.6259139654,20
2013,5,A,6,Control,1,5.614872505,21
2013,5,A,6,Control,3,8.3624262501,18
2013,5,A,6,Control,5,8.289612415,20
2013,5,A,6,Treatment,1,7.0552029336,20
2013,5,A,6,Treatment,3,6.0429294403,21
2013,5,A,6,Treatment,5,6.5030165521,19
2013,5,A,7,Control,1,5.8946558365,18
2013,5,A,7,Control,3,6.3269931322,14
2013,5,A,7,Control,5,7.9262990372,22
2013,5,A,7,Treatment,1,6.9437963531,18
2013,5,A,7,Treatment,3,6.827368799,19
2013,5,A,7,Treatment,5,7.9794259507,16
2013,5,A,8,Control,1,6.2441704578,21
2013,5,A,8,Control,3,7.3951648315,18
2013,5,A,8,Control,5,8.290709429,21
2013,5,A,8,Treatment,1,4.4785317686,18
2013,5,A,8,Treatment,3,5.6723383929,19
2013,5,A,8,Treatment,5,7.6964539949,20
2013,5,A,9,Control,1,7.5949753236,22
2013,5,A,9,Control,3,8.4896334156,17
2013,5,A,9,Control,5,8.0629705319,23
2013,5,A,9,Treatment,1,7.7607013128,20
2013,5,A,9,Treatment,3,7.9957687745,23
2013,5,A,9,Treatment,5,8.7038931042,19
2013,5,A,10,Control,1,9.7291240118,18
2013,5,A,10,Control,3,10.055032509,18
2013,5,A,10,Control,5,10.9124074649,18
2013,5,A,10,Treatment,1,6.0906825967,19
2013,5,A,10,Treatment,3,8.5482359848,22
2013,5,A,10,Treatment,5,6.1308951031,21
2013,6,A,1,Control,1,8.4742297533,22
2013,6,A,1,Control,3,7.9040372257,19
2013,6,A,1,Control,5,9.7489349781,18
2013,6,A,1,Treatment,1,4.3035955162,19
2013,6,A,1,Treatment,3,6.1792402136,21
2013,6,A,1,Treatment,5,8.8125361757,20
2013,6,A,2,Control,1,8.7491290268,20
2013,6,A,2,Control,3,9.2924614263,23
2013,6,A,2,Control,5,9.8315938835,18
2013,6,A,2,Treatment,1,7.9546210262,20
2013,6,A,2,Treatment,3,9.3177067275,18
2013,6,A,2,Treatment,5,7.7965504382,17
2013,6,A,3,Control,1,8.212758683,21
2013,6,A,3,Control,3,8.4806243739,20
2013,6,A,3,Control,5,9.8299155375,18
2013,6,A,3,Treatment,1,7.5124005494,17
2013,6,A,3,Treatment,3,8.0079560631,25
2013,6,A,3,Treatment,5,8.2618068566,17
2013,6,A,4,Control,1,6.5244578229,18
2013,6,A,4,Control,3,7.8841937157,14
2013,6,A,4,Control,5,7.33472939,18
2013,6,A,4,Treatment,1,5.9643903419,22
2013,6,A,4,Treatment,3,9.0723163298,19
2013,6,A,4,Treatment,5,7.3346475601,22
2013,6,A,5,Control,1,5.0661396734,20
2013,6,A,5,Control,3,8.3814951407,22
2013,6,A,5,Control,5,7.8630763065,18
2013,6,A,5,Treatment,1,6.0514249415,20
2013,6,A,5,Treatment,3,5.9415491324,21
2013,6,A,5,Treatment,5,8.5747483814,16
2013,6,A,6,Control,1,5.8158568932,21
2013,6,A,6,Control,3,9.562375924,20
2013,6,A,6,Control,5,8.3928587726,17
2013,6,A,6,Treatment,1,4.8535214062,23
2013,6,A,6,Treatment,3,6.8350715939,18
2013,6,A,6,Treatment,5,8.3236467549,21
2013,6,A,7,Control,1,7.8890742293,16
2013,6,A,7,Control,3,7.0282510218,21
2013,6,A,7,Control,5,6.9336055779,17
2013,6,A,7,Treatment,1,6.5733330201,19
2013,6,A,7,Treatment,3,7.9946530513,14
2013,6,A,7,Treatment,5,5.9906950436,19
2013,6,A,8,Control,1,7.1275254975,17
2013,6,A,8,Control,3,8.1712394336,17
2013,6,A,8,Control,5,8.7230874627,18
2013,6,A,8,Treatment,1,7.7032901333,20
2013,6,A,8,Treatment,3,7.8305000883,19
2013,6,A,8,Treatment,5,7.9160773839,22
2013,6,A,9,Control,1,7.5373758569,20
2013,6,A,9,Control,3,7.9545349745,19
2013,6,A,9,Control,5,8.7181406797,21
2013,6,A,9,Treatment,1,8.0801000861,22
2013,6,A,9,Treatment,3,8.1947690117,21
2013,6,A,9,Treatment,5,10.2201089924,19
2013,6,A,10,Control,1,7.5595512815,18
2013,6,A,10,Control,3,8.2994803718,16
2013,6,A,10,Control,5,9.1631539378,23
2013,6,A,10,Treatment,1,6.7533852965,22
2013,6,A,10,Treatment,3,7.5141545469,20
2013,6,A,10,Treatment,5,9.5017823919,19
2013,7,A,1,Control,1,5.9103489467,21
2013,7,A,1,Control,3,8.2181201713,19
2013,7,A,1,Control,5,9.0599645879,21
2013,7,A,1,Treatment,1,6.0997759681,16
2013,7,A,1,Treatment,3,9.3407078196,24
2013,7,A,1,Treatment,5,10.1329574881,19
2013,7,A,2,Control,1,7.2629425301,21
2013,7,A,2,Control,3,8.6781671749,16
2013,7,A,2,Control,5,9.5096786723,19
2013,7,A,2,Treatment,1,7.5141299232,20
2013,7,A,2,Treatment,3,10.668210957,17
2013,7,A,2,Treatment,5,9.3939619509,19
2013,7,A,3,Control,1,6.8324146782,19
2013,7,A,3,Control,3,7.0945643255,20
2013,7,A,3,Control,5,9.0728459286,21
2013,7,A,3,Treatment,1,8.6156566223,18
2013,7,A,3,Treatment,3,7.9171276497,17
2013,7,A,3,Treatment,5,10.0716111091,18
2013,7,A,4,Control,1,5.831400813,18
2013,7,A,4,Control,3,6.4313137257,21
2013,7,A,4,Control,5,8.0807829267,22
2013,7,A,4,Treatment,1,6.9142207829,19
2013,7,A,4,Treatment,3,6.5052521227,21
2013,7,A,4,Treatment,5,7.317214148,19
2013,7,A,5,Control,1,6.8154382537,19
2013,7,A,5,Control,3,6.9965593402,22
2013,7,A,5,Control,5,8.4761994434,20
2013,7,A,5,Treatment,1,6.6017562345,22
2013,7,A,5,Treatment,3,8.0501797399,17
2013,7,A,5,Treatment,5,8.4414800676,21
2013,7,A,6,Control,1,6.917490557,22
2013,7,A,6,Control,3,5.7464695525,19
2013,7,A,6,Control,5,7.9251245116,20
2013,7,A,6,Treatment,1,6.4616547844,18
2013,7,A,6,Treatment,3,6.9123822881,20
2013,7,A,6,Treatment,5,7.3837128848,21
2013,7,A,7,Control,1,5.5062307827,21
2013,7,A,7,Control,3,6.7115026906,19
2013,7,A,7,Control,5,8.2179641018,20
2013,7,A,7,Treatment,1,4.3416110062,19
2013,7,A,7,Treatment,3,7.7407533861,18
2013,7,A,7,Treatment,5,7.4028260995,21
2013,7,A,8,Control,1,6.1207917997,19
2013,7,A,8,Control,3,7.9692585855,20
2013,7,A,8,Control,5,8.8728421477,20
2013,7,A,8,Treatment,1,4.5879796861,19
2013,7,A,8,Treatment,3,5.7359266245,20
2013,7,A,8,Treatment,5,6.8872927314,21
2013,7,A,9,Control,1,6.262927397,18
2013,7,A,9,Control,3,7.7636452247,21
2013,7,A,9,Control,5,10.4274003606,22
2013,7,A,9,Treatment,1,7.1237108979,19
2013,7,A,9,Treatment,3,8.5121900874,16
2013,7,A,9,Treatment,5,10.0503203445,16
2013,7,A,10,Control,1,6.2550453015,24
2013,7,A,10,Control,3,8.7866240531,19
2013,7,A,10,Control,5,9.3813354667,18
2013,7,A,10,Treatment,1,6.4682911119,24
2013,7,A,10,Treatment,3,9.1311183862,19
2013,7,A,10,Treatment,5,8.3362349794,19
2013,8,A,1,Control,1,4.8545749083,19
2013,8,A,1,Control,3,8.1821052229,19
2013,8,A,1,Control,5,10.1586676284,18
2013,8,A,1,Treatment,1,6.3625755737,17
2013,8,A,1,Treatment,3,6.3118859187,19
2013,8,A,1,Treatment,5,9.4579048411,18
2013,8,A,2,Control,1,7.5743985698,17
2013,8,A,2,Control,3,10.989638114,14
2013,8,A,2,Control,5,10.9228135691,21
2013,8,A,2,Treatment,1,8.7473791291,19
2013,8,A,2,Treatment,3,10.4829123335,14
2013,8,A,2,Treatment,5,10.3013945967,16
2013,8,A,3,Control,1,7.8270156203,20
2013,8,A,3,Control,3,8.0938313596,19
2013,8,A,3,Control,5,10.7530605745,19
2013,8,A,3,Treatment,1,7.6168727791,20
2013,8,A,3,Treatment,3,7.2381634167,20
2013,8,A,3,Treatment,5,9.3919188231,21
2013,8,A,4,Control,1,6.2412287092,21
2013,8,A,4,Control,3,8.0935727961,18
2013,8,A,4,Control,5,7.2513166047,20
2013,8,A,4,Treatment,1,6.1008853015,21
2013,8,A,4,Treatment,3,7.242919315,22
2013,8,A,4,Treatment,5,6.5297605873,18
2013,8,A,5,Control,1,8.2141856624,18
2013,8,A,5,Control,3,8.9354532132,21
2013,8,A,5,Control,5,7.8477700955,18
2013,8,A,5,Treatment,1,7.9812509505,19
2013,8,A,5,Treatment,3,8.173290111,16
2013,8,A,5,Treatment,5,9.1848004725,19
2013,8,A,6,Control,1,7.0398393265,20
2013,8,A,6,Control,3,9.597436838,21
2013,8,A,6,Control,5,7.6526559776,23
2013,8,A,6,Treatment,1,5.5714696407,20
2013,8,A,6,Treatment,3,8.0500198049,18
2013,8,A,6,Treatment,5,9.893257817,18
2013,8,A,7,Control,1,6.1187284233,16
2013,8,A,7,Control,3,6.6867887867,22
2013,8,A,7,Control,5,7.6600295491,16
2013,8,A,7,Treatment,1,6.5672853626,18
2013,8,A,7,Treatment,3,7.8525606732,19
2013,8,A,7,Treatment,5,9.2364903882,19
2013,8,A,8,Control,1,6.1147616692,19
2013,8,A,8,Control,3,6.5005560929,21
2013,8,A,8,Control,5,7.960009006,20
2013,8,A,8,Treatment,1,4.4898835124,17
2013,8,A,8,Treatment,3,6.5228368474,18
2013,8,A,8,Treatment,5,8.2500297307,21
2013,8,A,9,Control,1,9.5931089757,20
2013,8,A,9,Control,3,7.636565187,23
2013,8,A,9,Control,5,10.4236137519,24
2013,8,A,9,Treatment,1,7.4065477964,18
2013,8,A,9,Treatment,3,8.4827394237,19
2013,8,A,9,Treatment,5,8.4547236703,22
2013,8,A,10,Control,1,7.5977439647,22
2013,8,A,10,Control,3,10.5798865038,22
2013,8,A,10,Control,5,10.5030637321,22
2013,8,A,10,Treatment,1,7.1439294093,20
2013,8,A,10,Treatment,3,7.2900514721,19
2013,8,A,10,Treatment,5,8.1860308209,22
2013,9,A,1,Control,1,5.6595611101,20
2013,9,A,1,Control,3,9.8390357659,19
2013,9,A,1,Control,5,9.4398262661,19
2013,9,A,1,Treatment,1,6.8819311708,20
2013,9,A,1,Treatment,3,9.8284367044,18
2013,9,A,1,Treatment,5,8.0529760517,20
2013,9,A,2,Control,1,8.5957630619,18
2013,9,A,2,Control,3,9.5381343388,18
2013,9,A,2,Control,5,10.1405939316,19
2013,9,A,2,Treatment,1,9.4460878993,20
2013,9,A,2,Treatment,3,10.1755502363,18
2013,9,A,2,Treatment,5,9.9975120903,21
2013,9,A,3,Control,1,8.4921255187,19
2013,9,A,3,Control,3,8.9734065656,19
2013,9,A,3,Control,5,11.0818553587,18
2013,9,A,3,Treatment,1,7.3603546501,19
2013,9,A,3,Treatment,3,7.4395899198,17
2013,9,A,3,Treatment,5,10.1229142381,17
2013,9,A,4,Control,1,7.304717138,19
2013,9,A,4,Control,3,7.3247934443,18
2013,9,A,4,Control,5,8.7637547954,19
2013,9,A,4,Treatment,1,7.9173433381,18
2013,9,A,4,Treatment,3,8.0798712389,20
2013,9,A,4,Treatment,5,9.1974808935,19
2013,9,A,5,Control,1,7.7528100493,17
2013,9,A,5,Control,3,6.6528099936,20
2013,9,A,5,Control,5,7.9604732557,19
2013,9,A,5,Treatment,1,7.0850199692,15
2013,9,A,5,Treatment,3,8.1385293523,20
2013,9,A,5,Treatment,5,7.8543539992,19
2013,9,A,6,Control,1,6.5750309771,19
2013,9,A,6,Control,3,8.4969638349,19
2013,9,A,6,Control,5,9.4689340179,22
2013,9,A,6,Treatment,1,6.9639436008,19
2013,9,A,6,Treatment,3,7.1939996431,18
2013,9,A,6,Treatment,5,8.6836709214,21
2013,9,A,7,Control,1,6.8956088873,19
2013,9,A,7,Control,3,8.8771715965,17
2013,9,A,7,Control,5,6.3522406612,21
2013,9,A,7,Treatment,1,5.8507776667,19
2013,9,A,7,Treatment,3,8.3897433473,16
2013,9,A,7,Treatment,5,8.8021069406,22
2013,9,A,8,Control,1,7.1186612895,19
2013,9,A,8,Control,3,9.7591480807,20
2013,9,A,8,Control,5,8.0315761771,21
2013,9,A,8,Treatment,1,6.8116101951,21
2013,9,A,8,Treatment,3,8.5375220235,17
2013,9,A,8,Treatment,5,7.5344150883,18
2013,9,A,9,Control,1,8.044498608,23
2013,9,A,9,Control,3,8.5335572665,18
2013,9,A,9,Control,5,9.5156761176,16
2013,9,A,9,Treatment,1,7.2485721489,16
2013,9,A,9,Treatment,3,9.5758958326,20
2013,9,A,9,Treatment,5,8.4278906115,19
2013,9,A,10,Control,1,8.6668760021,18
2013,9,A,10,Control,3,9.8870606989,19
2013,9,A,10,Control,5,11.0083659729,18
2013,9,A,10,Treatment,1,8.3089771996,18
2013,9,A,10,Treatment,3,8.3056110362,19
2013,9,A,10,Treatment,5,9.637704365,21
2013,10,A,1,Control,1,6.7708069553,17
2013,10,A,1,Control,3,9.8193462903,20
2013,10,A,1,Control,5,9.9098224058,21
2013,10,A,1,Treatment,1,7.2098544354,17
2013,10,A,1,Treatment,3,7.1661637314,18
2013,10,A,1,Treatment,5,9.4043098254,20
2013,10,A,2,Control,1,8.7871153338,16
2013,10,A,2,Control,3,8.3558925889,21
2013,10,A,2,Control,5,9.8794542873,19
2013,10,A,2,Treatment,1,7.6724258021,16
2013,10,A,2,Treatment,3,8.8319516216,19
2013,10,A,2,Treatment,5,9.7038676439,19
2013,10,A,3,Control,1,9.0480141656,21
2013,10,A,3,Control,3,10.4043041012,20
2013,10,A,3,Control,5,9.6812375608,22
2013,10,A,3,Treatment,1,8.161308462,16
2013,10,A,3,Treatment,3,10.1656269333,16
2013,10,A,3,Treatment,5,10.1421352509,16
2013,10,A,4,Control,1,4.9515430738,15
2013,10,A,4,Control,3,7.5531785657,22
2013,10,A,4,Control,5,8.8908780643,21
2013,10,A,4,Treatment,1,5.708019527,20
2013,10,A,4,Treatment,3,8.4675466764,19
2013,10,A,4,Treatment,5,6.9242853549,20
2013,10,A,5,Control,1,5.3002818191,19
2013,10,A,5,Control,3,9.0526015811,19
2013,10,A,5,Control,5,8.9133520788,17
2013,10,A,5,Treatment,1,8.7726115861,18
2013,10,A,5,Treatment,3,10.6593968389,18
2013,10,A,5,Treatment,5,8.4993873588,20
2013,10,A,6,Control,1,7.7655062191,20
2013,10,A,6,Control,3,8.8933111433,18
2013,10,A,6,Control,5,7.0550214432,20
2013,10,A,6,Treatment,1,7.0852521688,17
2013,10,A,6,Treatment,3,9.4970532341,14
2013,10,A,6,Treatment,5,9.3787509866,21
2013,10,A,7,Control,1,6.6067007887,19
2013,10,A,7,Control,3,8.1177218356,21
2013,10,A,7,Control,5,8.2692816777,20
2013,10,A,7,Treatment,1,5.1987334284,19
2013,10,A,7,Treatment,3,6.6678617625,16
2013,10,A,7,Treatment,5,8.0664021143,19
2013,10,A,8,Control,1,7.1728930448,16
