"gene_ID","description","organism","nomenclaturesymbol"
"YP_009003732.1","cytochrome c oxidase subunit I","Mustelus griseus",""
"YP_009172450.1","cytochrome b","Pimephales promelas",""
"YP_009172440.1","cytochrome c oxidase subunit I","Pimephales promelas",""
"YP_636112.1","cytochrome c oxidase subunit II","Notropis stramineus",""
"XP_001922019.2","heme-binding protein soul5","Danio rerio","soul5"
"XP_008320975.1","glyceraldehyde-3-phosphate dehydrogenase","Cynoglossus semilaevis",""
"YP_514619.1","COI","Rhodeus uyekii",""
"XP_014263962.1","extracellular calcium-sensing receptor-like","Maylandia zebra",""
"XP_013876634.1","uncharacterized LOC106526551","Austrofundulus limnaeus",""
"XP_009304498.1",NA,NA,NA
"XP_007256768.1","serine and arginine rich splicing factor 3","Astyanax mexicanus",""
"NP_001296401.1","serine/arginine-rich splicing factor 3b","Danio rerio","srsf3b"
"XP_007242240.1",NA,NA,NA
"XP_009297203.1",NA,NA,NA
"XP_009301430.1",NA,NA,NA
"XP_009294470.1",NA,NA,NA
"XP_009296704.1","NACHT, LRR and PYD domains-containing protein 12","Danio rerio",""
"XP_009296700.1","NACHT, LRR and PYD domains-containing protein 12","Danio rerio",""
"XP_007235005.1","kinesin-like protein KIF21A","Astyanax mexicanus",""
"XP_003977587.1","copine-8","Takifugu rubripes",""
"XP_008291015.1","copine-8","Stegastes partitus",""
"XP_012672772.1","copine-8","Clupea harengus",""
"NP_001038180.2","nardilysin b (N-arginine dibasic convertase)","Danio rerio","nrd1b"
"XP_009294522.1","nardilysin b (N-arginine dibasic convertase)","Danio rerio","nrd1b"
"XP_007240136.1","ras-related protein Rab-3B","Astyanax mexicanus",""
"XP_685654.3","RAB3B, member RAS oncogene family","Danio rerio","rab3b"
"NP_001017907.2","ATP synthase mitochondrial F1 complex assembly factor 1","Danio rerio","atpaf1"
"XP_013868192.1","glutamate ionotropic receptor kainate type subunit 1","Austrofundulus limnaeus",""
"XP_014019131.1","glutamate receptor ionotropic, kainate 1-like","Salmo salar",""
"XP_005796934.1","glutamate receptor ionotropic, kainate 2-like","Xiphophorus maculatus",""
"XP_014019122.1","glutamate receptor ionotropic, kainate 2-like","Salmo salar",""
"XP_008307473.1","glutamate receptor ionotropic, kainate 1","Cynoglossus semilaevis",""
"NP_001131130.1","Fras1 related extracellular matrix 1b","Danio rerio","frem1b"
"NP_001002446.2","claudin 15-like b","Danio rerio","cldn15lb"
"XP_014056964.1","transmembrane protein 91-like","Salmo salar",""
"NP_001133442.1","LanC like 2","Salmo salar",""
"XP_010882265.1","core-binding factor beta subunit","Esox lucius",""
"XP_005169843.1","zona pellucida sperm-binding protein 3","Danio rerio",""
"NP_001017573.2","proteasome 26S subunit, non-ATPase 5","Danio rerio","psmd5"
"XP_009293408.1",NA,NA,NA
"XP_007256656.1","proteasome 26S subunit, non-ATPase 5","Astyanax mexicanus",""
"XP_001920640.3","lipoxygenase homology domains 1b","Danio rerio","loxhd1b"
"XP_014050385.1","acidic leucine-rich nuclear phosphoprotein 32 family member B-like","Salmo salar",""
"XP_693816.6",NA,NA,NA
"XP_010897508.1","meiotic nuclear divisions 1","Esox lucius",""
"XP_009300311.1","eukaryotic translation initiation factor 2B, subunit 1 alpha","Danio rerio","eif2b1"
"NP_001093443.1","vacuolar protein sorting 33A","Danio rerio","vps33a"
"XP_009292902.1","fibronectin type III domain containing 4a","Danio rerio","fndc4a"
"NP_001025391.1","BLK proto-oncogene, Src family tyrosine kinase","Danio rerio","blk"
"XP_005160533.1","si:dkey-71h2.2","Danio rerio","si:dkey-71h2.2"
"XP_007287884.1",NA,NA,NA
"NP_001013283.2","PIN2/TERF1 interacting, telomerase inhibitor 1","Danio rerio","pinx1"
"XP_005160532.1",NA,NA,NA
"YP_001491402.1","cytochrome c oxidase subunit III","Ostracion immaculatus",""
"NP_740143.1","cytochrome c oxidase subunit II","Salarias fasciatus",""
"YP_003126917.1","cytochrome c oxidase subunit II","Platax orbicularis",""
"NP_998410.1","L-threonine dehydrogenase","Danio rerio","tdh"
"XP_007256695.1","PIN2/TERF1 interacting, telomerase inhibitor 1","Astyanax mexicanus",""
"NP_001074219.1","SRY (sex determining region Y)-box 7","Danio rerio","sox7"
"XP_007230466.1","solute carrier family 4 member 10","Astyanax mexicanus",""
"NP_001108562.1","T-box, brain, 1b","Danio rerio","tbr1b"
"XP_005157916.1","inhibitor of Bruton agammaglobulinemia tyrosine kinase","Danio rerio","ibtk"
"NP_001177688.1","solute carrier family 1 (glutamate transporter), member 9","Danio rerio","slc1a9"
"NP_001038789.1","fibroblast growth factor 21","Danio rerio","fgf21"
"XP_002667092.2","DnaJ heat shock protein family (Hsp40) member C11","Danio rerio",""
"XP_003201700.1","PHD finger protein 13","Danio rerio","phf13"
"XP_009301365.1","focadhesin","Danio rerio","focad"
"NP_001005587.1","carnitine O-acetyltransferase a","Danio rerio","crata"
"XP_009293457.1","NIMA-related kinase 6","Danio rerio","nek6"
"NP_001076282.1","si:dkey-102f14.5","Danio rerio","si:dkey-102f14.5"
"XP_005159156.1","si:dkey-102f14.5","Danio rerio","si:dkey-102f14.5"
"XP_008279744.1","nuclear apoptosis-inducing factor 1-like","Stegastes partitus",""
"NP_001027007.1","acyl-CoA synthetase long-chain family member 1a","Danio rerio","acsl1a"
"XP_005171693.1","potassium voltage-gated channel subfamily A member 7-like","Danio rerio",""
"NP_999857.1","membrane protein, palmitoylated 1","Danio rerio","mpp1"
"XP_007245854.1","alkaline ceramidase 1","Astyanax mexicanus",""
"XP_005166895.1","regulatory factor X, 2 (influences HLA class II expression)","Danio rerio","rfx2"
"NP_001013296.1","regulatory factor X, 2 (influences HLA class II expression)","Danio rerio","rfx2"
"XP_005166995.1","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1a","Danio rerio","mllt1a"
"XP_013862709.1","MLLT1, super elongation complex subunit","Austrofundulus limnaeus",""
"XP_012683676.1","MLLT1, super elongation complex subunit","Clupea harengus",""
"NP_001035474.1","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1b","Danio rerio","mllt1b"
"XP_009300207.1","centriolin","Danio rerio","cntrl"
"NP_001119851.1","acyl-CoA synthetase bubblegum family member 2","Danio rerio","acsbg2"
"NP_001243600.1","myosin IF","Danio rerio","myo1f"
"XP_009291744.1",NA,NA,NA
"XP_009290361.1","glycogen synthase kinase 3 alpha b","Danio rerio","gsk3ab"
"XP_009293454.1",NA,NA,NA
"XP_005755447.1","probable E3 ubiquitin-protein ligase HERC1","Pundamilia nyererei",""
"XP_009293307.1","uncharacterized LOC101883549","Danio rerio",""
"XP_009293369.1",NA,NA,NA
"XP_009294283.1","polymeric immunoglobulin receptor-like","Danio rerio",""
"XP_009290974.1","zinc finger protein 385D-like","Danio rerio",""
"XP_008273955.1","WAP four-disulfide core domain protein 18-like","Stegastes partitus",""
"XP_009299960.1","leucine-rich repeats and calponin homology (CH) domain containing 2","Danio rerio","lrch2"
"XP_009291670.1","si:ch1073-390k14.1","Danio rerio","si:ch1073-390k14.1"
"XP_009293679.1",NA,NA,NA
"XP_009293783.1",NA,NA,NA
"XP_005162534.1","ras responsive element binding protein 1a","Danio rerio","rreb1a"
"XP_014065001.1","acidic leucine-rich nuclear phosphoprotein 32 family member B-like","Salmo salar",""
"XP_013125042.1","dedicator of cytokinesis protein 7","Oreochromis niloticus",""
"XP_014035038.1","myosin phosphatase Rho-interacting protein-like","Salmo salar",""
"XP_005452706.1",NA,NA,NA
"NP_775392.2","tetratricopeptide repeat domain 27","Danio rerio","ttc27"
"XP_012688181.1","uncharacterized LOC105904793","Clupea harengus",""
"XP_696748.4","asparaginyl-tRNA synthetase","Danio rerio","nars"
"XP_006913763.1","asparaginyl-tRNA synthetase","Pteropus alecto",""
"NP_001070123.2","zgc:152670","Danio rerio","zgc:152670"
"XP_007236699.1","prolyl 4-hydroxylase subunit alpha-1-like","Astyanax mexicanus",""
"XP_009291550.1","si:dkey-206p8.1","Danio rerio","si:dkey-206p8.1"
"XP_701294.4","potassium voltage-gated channel, shaker-related subfamily, member 7","Danio rerio","knca7"
"NP_001008646.1","cyclin-dependent kinase 11B","Danio rerio","cdk11b"
"NP_001133715.1","Solute carrier family 35 member E2","Salmo salar",""
"XP_005173523.1","triple functional domain protein-like","Danio rerio",""
"XP_005163432.1",NA,NA,NA
"XP_005164807.1",NA,NA,NA
"NP_001191108.1","si:dkey-19b23.11","Danio rerio","si:dkey-19b23.11"
"XP_009289703.1","lipoma HMGIC fusion partner","Danio rerio",""
"XP_013129723.1",NA,NA,NA
"XP_012681046.1","uncharacterized LOC105898559","Clupea harengus",""
"XP_005159283.1","thyroid hormone receptor interactor 12","Danio rerio","trip12"
"NP_001018350.1","neuronal calcium sensor 1b","Danio rerio","ncs1b"
"NP_571507.2","TYRO3 protein tyrosine kinase","Danio rerio","tyro3"
"XP_005171245.1","si:dkeyp-1a11.3","Danio rerio","si:dkeyp-1a11.3"
"NP_001008644.2","BMP2 inducible kinase","Danio rerio","bmp2k"
"XP_009294312.1",NA,NA,NA
"XP_009294246.1","uncharacterized LOC101884969","Danio rerio",""
"XP_009294221.1",NA,NA,NA
"XP_003201028.2","uncharacterized LOC100538251","Danio rerio",""
"XP_009294454.1","si:dkey-102c8.2","Danio rerio","si:dkey-102c8.2"
"NP_001104623.2","zgc:171686","Danio rerio","zgc:171686"
"XP_685436.6","si:ch211-87m7.1","Danio rerio","si:ch211-87m7.1"
"NP_001070032.1","serum/glucocorticoid regulated kinase 2b","Danio rerio","sgk2b"
"XP_008277681.1","solute carrier family 37 member 1","Stegastes partitus",""
"XP_013872670.1","uncharacterized LOC106523692","Austrofundulus limnaeus",""
"XP_008277301.1","DNA (cytosine-5)-methyltransferase 3B-like","Stegastes partitus",""
"XP_010738603.1",NA,NA,NA
"XP_700087.3",NA,NA,NA
"XP_013122650.1","uncharacterized LOC106097269","Oreochromis niloticus",""
"XP_009295599.1","uncharacterized LOC103909746","Danio rerio",""
"XP_009299878.1",NA,NA,NA
"NP_571268.1","EYA transcriptional coactivator and phosphatase 1","Danio rerio","eya1"
"XP_005157859.1",NA,NA,NA
"XP_698878.7",NA,NA,NA
"XP_009290197.1","si:dkey-121n8.7","Danio rerio","si:dkey-121n8.7"
"XP_003200135.3","protein NLRC3-like","Danio rerio",""
"XP_011487025.1","uncharacterized LOC105356652","Oryzias latipes",""
"XP_009295601.1",NA,NA,NA
"XP_001919229.3","Ras converting CAAX endopeptidase 1a","Danio rerio","rce1a"
"XP_007255750.1",NA,NA,NA
"XP_010791754.1","ras-related protein Rab-1A","Notothenia coriiceps",""
"NP_957436.1","zRAB1B, member RAS oncogene family a","Danio rerio","rab1ba"
"XP_012676033.1","glucosamine-6-phosphate deaminase 2","Clupea harengus",""
"XP_012672532.1","collagen type XIII alpha 1 chain","Clupea harengus",""
"XP_005160010.1","insulin-like growth factor 2 mRNA binding protein 2b","Danio rerio","igf2bp2b"
"XP_007570364.1","insulin like growth factor 2 mRNA binding protein 2","Poecilia formosa",""
"XP_003200393.2","kinesin family member 20Ba","Danio rerio","kif20ba"
"XP_005158585.1","kinesin family member 20Ba","Danio rerio","kif20ba"
"XP_012688810.1","uncharacterized LOC105905358","Clupea harengus",""
"XP_012696057.1","insulin-like growth factor 2 mRNA-binding protein 2","Clupea harengus",""
"XP_010743720.1","uncharacterized LOC104930589","Larimichthys crocea",""
"NP_001119939.1","si:dkey-22o12.2","Danio rerio","si:dkey-22o12.2"
"XP_006794024.1","dual specificity mitogen-activated protein kinase kinase 5-like","Neolamprologus brichardi",""
"XP_009294835.1","2-epi-5-epi-valiolone synthase-like","Danio rerio",""
"XP_009289811.1","uncharacterized LOC103908814","Danio rerio",""
"XP_011486770.1","uncharacterized LOC105356601","Oryzias latipes",""
"XP_014264629.1","uncharacterized LOC106675134","Maylandia zebra",""
"XP_014269797.1","retrotransposon-like 1","Maylandia zebra",""
"XP_011492213.1","uncharacterized LOC105358309","Oryzias latipes",""
"NP_571922.2","microphthalmia-associated transcription factor b","Danio rerio","mitfb"
"XP_006630676.1","melanogenesis associated transcription factor","Lepisosteus oculatus",""
"XP_011601244.1","uncharacterized LOC105416325","Takifugu rubripes",""
"NP_001013280.1","crystallin, gamma MX","Danio rerio","crygmx"
"XP_010899330.1","myosin-9","Esox lucius",""
"XP_014036384.1","dnaJ homolog subfamily C member 13-like","Salmo salar",""
"XP_001336460.1",NA,NA,NA
"XP_693037.2","nuclear envelope integral membrane protein 2","Danio rerio","nemp2"
"XP_008428146.1",NA,NA,NA
"XP_010771435.1","uncharacterized LOC104947167","Notothenia coriiceps",""
"NP_001239391.1","trophoblast glycoprotein b","Danio rerio","tpbgb"
"XP_002665053.1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","Danio rerio","tap1"
"XP_007233786.1","bromodomain-containing protein 2-like","Astyanax mexicanus",""
"NP_001103994.1","bromodomain containing 2b","Danio rerio","brd2b"
"NP_001104751.1","bromodomain containing 4","Danio rerio","brd4"
"XP_009301481.1","mitogen-activated protein kinase kinase 5","Danio rerio","map2k5"
"XP_009291516.1","protein kinase D3","Danio rerio","prkd3"
"XP_005465520.1","uncharacterized LOC102076694","Oreochromis niloticus",""
"XP_001920107.4","dedicator of cytokinesis 8","Danio rerio","dock8"
"XP_007232662.1","molybdenum cofactor synthesis 3","Astyanax mexicanus",""
"XP_009291515.1",NA,NA,NA
"NP_956421.1","molybdenum cofactor synthesis 3","Danio rerio","mocs3"
"XP_009291517.1","glutaminyl-peptide cyclotransferase","Danio rerio","qpct"
"XP_005168491.1","si:ch211-209f23.6","Danio rerio","si:ch211-209f23.6"
"XP_005163627.1","natural killer cell receptor 2B4-like","Danio rerio",""
"XP_009297128.1",NA,NA,NA
"XP_005163634.1","CD48 antigen-like","Danio rerio",""
"XP_005163632.1","SLAM family member 9-like","Danio rerio",""
"XP_002660965.3","uncharacterized LOC100331852","Danio rerio",""
"XP_696355.4","piezo-type mechanosensitive ion channel component 1","Danio rerio","piezo1"
"NP_001008606.1","zgc:103499","Danio rerio","zgc:103499"
"XP_005163065.1","BLOC-1 related complex subunit 5","Danio rerio","borcs5"
"NP_001161739.1","centrosomal protein 290","Danio rerio","cep290"
"XP_009301943.1","HECT domain E3 ubiquitin protein ligase 4","Danio rerio",""
"XP_009302656.1","si:ch1073-55a19.2","Danio rerio","si:ch1073-55a19.2"
"XP_014020470.1","E3 SUMO-protein ligase RanBP2-like","Salmo salar",""
"XP_007237106.1","protein bicaudal D homolog 2-like","Astyanax mexicanus",""
"XP_009301868.1","zinc finger protein 239-like","Danio rerio",""
"XP_014185383.1","uncharacterized LOC106632435","Haplochromis burtoni",""
"NP_001107104.1","zgc:175107","Danio rerio","zgc:175107"
"XP_009299350.1","gastrula zinc finger protein XlCGF7.1-like","Danio rerio",""
"XP_009297489.1","ATP-binding cassette, sub-family A (ABC1), member 3b","Danio rerio","abca3b"
"XP_008323651.1",NA,NA,NA
"NP_958870.3","coagulation factor X","Danio rerio","f10"
"YP_636020.1","cytochrome c oxidase subunit I","Cyprinella spiloptera",""
"XP_005168066.1",NA,NA,NA
"XP_002661160.3","zinc finger protein 653","Danio rerio","znf653"
"NP_571652.1","aryl hydrocarbon receptor nuclear translocator-like 1a","Danio rerio","arntl1a"
"XP_692471.4","si:dkey-42p8.3","Danio rerio","si:dkey-42p8.3"
"XP_005170593.1","si:dkey-42p8.3","Danio rerio","si:dkey-42p8.3"
"XP_014188630.1","transducin-like enhancer protein 4","Haplochromis burtoni",""
"XP_014025178.1","transducin-like enhancer protein 4","Salmo salar",""
"XP_014071894.1","transducin-like enhancer protein 1","Salmo salar",""
"XP_014187170.1","uncharacterized LOC106632941","Haplochromis burtoni",""
"XP_005162164.1","uncharacterized LOC101886866","Danio rerio",""
"XP_009291658.1","WD repeat domain 59","Danio rerio","wdr59"
"XP_012990868.1",NA,NA,NA
"XP_009303429.1",NA,NA,NA
"XP_005157014.1","potassium voltage-gated channel, subfamily F, member 1b","Danio rerio","kcnf1b"
"XP_012989157.1","uncharacterized LOC106024285","Esox lucius",""
"XP_009305705.1",NA,NA,NA
"NP_777288.1","rho-associated, coiled-coil containing protein kinase 2a","Danio rerio","rock2a"
"NP_001008615.2","heat shock protein, alpha-crystallin-related, 1","Danio rerio","hspb1"
"XP_005464154.1",NA,NA,NA
"XP_005157015.1","RNA binding motif protein 25a","Danio rerio","rbm25a"
"XP_014192562.1","uncharacterized LOC106633423","Haplochromis burtoni",""
"NP_571874.1","beta-carotene 15, 15-dioxygenase 2, like","Danio rerio","bco2l"
"XP_009290116.1",NA,NA,NA
"XP_008296546.1","dipeptidyl peptidase like 10","Stegastes partitus",""
"XP_005160404.1","cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 4","Danio rerio","cyp46a1.4"
"XP_008279156.1","thioredoxin related transmembrane protein 3","Stegastes partitus",""
"XP_005159568.1","mitochondrial ribosomal protein L3","Danio rerio","mrpl3"
"NP_001124106.1","low density lipoprotein receptor-related protein 3","Danio rerio","lrp3"
"XP_009300613.1","uncharacterized LOC103911222","Danio rerio",""
"XP_009938604.1","homer scaffolding protein 2","Opisthocomus hoazin",""
"XP_010127931.1","homer scaffolding protein 2","Chlamydotis macqueenii",""
"NP_001006053.1","zgc:101785","Danio rerio","zgc:101785"
"NP_001156003.1","synaptotagmin XIb","Danio rerio","syt11b"
"XP_001922725.2","si:dkey-239n17.4","Danio rerio","si:dkey-239n17.4"
"XP_006638608.1",NA,NA,NA
"XP_007239403.1",NA,NA,NA
"XP_002662872.1","sb:cb1058","Danio rerio","sb:cb1058"
"YP_003412063.1","cytochrome c oxidase subunit III","Mylocheilus caurinus",""
"NP_001015059.1",NA,NA,NA
"XP_012690113.1","vesicle amine transport 1 like","Clupea harengus",""
"XP_009303080.1",NA,NA,NA
"XP_009300273.1","WAS protein family, member 3a","Danio rerio","wasf3a"
"XP_012679448.1","ammonium transporter Rh type C 1-like","Clupea harengus",""
"NP_001093510.1","DnaJ (Hsp40) homolog, subfamily B, member 5","Danio rerio","dnajb5"
"XP_001345360.4","si:dkey-30e9.7","Danio rerio","si:dkey-30e9.7"
"NP_001096088.1",NA,NA,NA
"XP_009296557.1","pregnancy zone protein-like","Danio rerio",""
"NP_001093623.2","zgc:165518","Danio rerio","zgc:165518"
"NP_001107101.1","zgc:171445","Danio rerio","zgc:171445"
"XP_001332356.1","si:dkey-46g23.2","Danio rerio","si:dkey-46g23.2"
"NP_001188334.2","si:dkey-46g23.5","Danio rerio","si:dkey-46g23.5"
"XP_007231913.1","SUMO/sentrin peptidase family member, NEDD8 specific","Astyanax mexicanus",""
"XP_009289670.1",NA,NA,NA
"NP_001103195.1","zgc:173624","Danio rerio","zgc:173624"
"XP_009298901.1",NA,NA,NA
"XP_014047301.1","zinc finger protein 420-like","Salmo salar",""
"XP_013985959.1","zinc finger protein 271-like","Salmo salar",""
"XP_009291591.1",NA,NA,NA
"XP_007257504.1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1","Astyanax mexicanus",""
"XP_005167903.1","immunoglobulin-like domain containing receptor 2","Danio rerio","ildr2"
"NP_001025363.1","immunoglobulin-like domain containing receptor 2","Danio rerio","ildr2"
"XP_012987797.1","zinc finger protein 135-like","Esox lucius",""
"YP_220543.1","cytochrome c oxidase subunit III","Chirocentrus dorab",""
"NP_001186666.1","protein disulfide isomerase family A, member 3","Danio rerio","pdia3"
"YP_003412007.1","cytochrome c oxidase subunit II","Pseudogobio esocinus",""
"YP_009107046.1","cytochrome c oxidase subunit II","Oreochromis esculentus",""
"NP_001013520.1","caspase c","Danio rerio","caspc"
"NP_001032648.1","solute carrier family 7 (amino acid transporter light chain, y+L system), member 7","Danio rerio","slc7a7"
"XP_006909855.1",NA,NA,NA
"NP_001098600.2","oxidase (cytochrome c) assembly 1-like","Danio rerio","oxa1l"
"XP_006544810.1","uncharacterized LOC102641961","Mus musculus",""
"XP_007474791.1","uncharacterized LOC103092605","Monodelphis domestica",""
"XP_005465862.1",NA,NA,NA
"XP_013123710.1",NA,NA,NA
"XP_007251297.1",NA,NA,NA
"NP_001003990.1","mediator complex subunit 23","Danio rerio","med23"
"XP_001921522.2","myosin VIIAb","Danio rerio","myo7ab"
"XP_007239828.1","polymerase I and transcript release factor-like","Astyanax mexicanus",""
"XP_006801700.1","polymerase I and transcript release factor-like","Neolamprologus brichardi",""
"NP_001108021.1","polymerase I and transcript release factor b","Danio rerio","ptrfb"
"XP_009295518.1","ATPase, H+ transporting, lysosomal V0 subunit a1b","Danio rerio","atp6v0a1b"
"XP_009299021.1",NA,NA,NA
"XP_009296724.1",NA,NA,NA
"XP_007243546.1",NA,NA,NA
"XP_009292357.1","si:dkey-3n22.9","Danio rerio","si:dkey-3n22.9"
"YP_009142204.1","cytochrome c oxidase subunit I","Sinocyclocheilus anshuiensis",""
"NP_001186940.2","si:ch73-41h24.1","Danio rerio","si:ch73-41h24.1"
"XP_011618001.1","uncharacterized LOC101068568","Takifugu rubripes",""
"NP_001001403.2","ATPase type 13A1","Danio rerio","atp13a1"
"XP_004086009.2","protein numb homolog","Oryzias latipes",""
"NP_001107878.1","exonuclease 3'-5' domain containing 2","Danio rerio","exd2"
"XP_005169949.1","exonuclease 3'-5' domain containing 2","Danio rerio","exd2"
"XP_005169952.1","numb homolog (Drosophila)","Danio rerio","numb"
"XP_005169953.1","numb homolog (Drosophila)","Danio rerio","numb"
"XP_013865736.1","uncharacterized LOC106518859","Austrofundulus limnaeus",""
"XP_012815219.1",NA,NA,NA
"XP_004912885.1","uncharacterized LOC100498475","Xenopus tropicalis",""
"XP_001922596.3","microtubule associated serine/threonine kinase family member 4","Danio rerio","mast4"
